Python 3.13.7 (tags/v3.13.7:bcee1c3, Aug 14 2025, 14:15:11) [MSC v.1944 64 bit (AMD64)] on win32
Enter "help" below or click "Help" above for more information.

= RESTART: C:\Users\Kokkc\Downloads\crypto_games_bot_stable_100-9999_norm_versiya_Version36_Version9.py
22:03:07 [Bot-1] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-2] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-3] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-4] Запущен payout 1000..9999 highroll99=False
22:03:08 [Bot-2] [Bot-2] Старт баланс=33.34213908
22:03:08 [Bot-1] [Bot-1] Старт баланс=33.34213908
22:03:08 [Bot-3] [Bot-3] Старт баланс=33.34213908
22:03:08 [Bot-4] [Bot-4] Старт баланс=33.34213908
22:03:08 [Bot-1] [Bot-1] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-3] [Bot-3] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-2] [Bot-2] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-4] [Bot-4] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:19 [Bot-4] [LOSS] spin 31 payout=1030 roll=21.2770000000 bet=0.00100000
22:03:19 [Bot-3] [LOSS] spin 33 payout=1032 roll=15.0560000000 bet=0.00100000
22:03:19 [Bot-1] [LOSS] spin 31 payout=1030 roll=80.2630000000 bet=0.00100000
22:03:19 [Bot-2] [LOSS] spin 33 payout=1032 roll=43.0690000000 bet=0.00100000
22:03:19 [Bot-4] [LOSS] spin 32 payout=1031 roll=55.5060000000 bet=0.00100000
22:03:19 [Bot-3] [LOSS] spin 34 payout=1033 roll=23.8450000000 bet=0.00100000
22:03:19 [Bot-1] [LOSS] spin 32 payout=1031 roll=13.2850000000 bet=0.00100000
22:03:19 [Bot-2] [LOSS] spin 34 payout=1033 roll=87.9410000000 bet=0.00100000
22:03:19 [Bot-4] [LOSS] spin 33 payout=1032 roll=2.1650000000 bet=0.00100000
22:03:19 [Bot-3] [LOSS] spin 35 payout=1034 roll=53.5860000000 bet=0.00100000
22:03:19 [Bot-1] [LOSS] spin 33 payout=1032 roll=55.0760000000 bet=0.00100000
22:03:19 [Bot-2] [LOSS] spin 35 payout=1034 roll=86.2040000000 bet=0.00100000
22:03:20 [Bot-4] [LOSS] spin 34 payout=1033 roll=73.9100000000 bet=0.00100000
22:03:20 [Bot-3] [LOSS] spin 36 payout=1035 roll=77.2880000000 bet=0.00100000
22:03:20 [Bot-1] [LOSS] spin 34 payout=1033 roll=58.4920000000 bet=0.00100000
22:03:20 [Bot-2] [LOSS] spin 36 payout=1035 roll=81.9950000000 bet=0.00100000
22:03:20 [Bot-4] [LOSS] spin 35 payout=1034 roll=53.5460000000 bet=0.00100000
22:03:20 [Bot-3] [LOSS] spin 37 payout=1036 roll=61.4510000000 bet=0.00100000
22:03:20 [Bot-1] [LOSS] spin 35 payout=1034 roll=20.5240000000 bet=0.00100000
22:03:20 [Bot-2] [LOSS] spin 37 payout=1036 roll=60.0460000000 bet=0.00100000
22:03:20 [Bot-4] [LOSS] spin 36 payout=1035 roll=55.0310000000 bet=0.00100000
22:03:20 [Bot-3] [LOSS] spin 38 payout=1037 roll=75.6720000000 bet=0.00100000
22:03:20 [Bot-1] [LOSS] spin 36 payout=1035 roll=50.5090000000 bet=0.00100000
22:03:20 [Bot-2] [LOSS] spin 38 payout=1037 roll=88.7410000000 bet=0.00100000
22:03:21 [Bot-4] [LOSS] spin 37 payout=1036 roll=28.7250000000 bet=0.00100000
22:03:21 [Bot-3] [LOSS] spin 39 payout=1038 roll=43.8780000000 bet=0.00100000
22:03:21 [Bot-1] [LOSS] spin 37 payout=1036 roll=94.6980000000 bet=0.00100000
22:03:21 [Bot-2] [LOSS] spin 39 payout=1038 roll=36.4580000000 bet=0.00100000
22:03:21 [Bot-4] [LOSS] spin 38 payout=1037 roll=44.9980000000 bet=0.00100000
22:03:21 [Bot-3] [LOSS] spin 40 payout=1039 roll=46.0380000000 bet=0.00100000
22:03:21 [Bot-1] [LOSS] spin 38 payout=1037 roll=14.0120000000 bet=0.00100000
22:03:21 [Bot-2] [LOSS] spin 40 payout=1039 roll=69.2040000000 bet=0.00100000
22:03:21 [Bot-4] [LOSS] spin 39 payout=1038 roll=94.1810000000 bet=0.00100000
22:03:21 [Bot-3] [LOSS] spin 41 payout=1040 roll=64.3040000000 bet=0.00100000
22:03:21 [Bot-1] [LOSS] spin 39 payout=1038 roll=14.9300000000 bet=0.00100000
22:03:21 [Bot-2] [LOSS] spin 41 payout=1040 roll=92.4860000000 bet=0.00100000
22:03:21 [Bot-4] [LOSS] spin 40 payout=1039 roll=83.6800000000 bet=0.00100000
22:03:22 [Bot-3] [LOSS] spin 42 payout=1041 roll=44.6010000000 bet=0.00100000
22:03:22 [Bot-1] [LOSS] spin 40 payout=1039 roll=40.6390000000 bet=0.00100000
22:03:22 [Bot-2] [LOSS] spin 42 payout=1041 roll=79.6130000000 bet=0.00100000
22:03:22 [Bot-4] [LOSS] spin 41 payout=1040 roll=96.5150000000 bet=0.00100000
22:03:22 [Bot-3] [LOSS] spin 43 payout=1042 roll=17.4500000000 bet=0.00100000
22:03:22 [Bot-1] [LOSS] spin 41 payout=1040 roll=41.7300000000 bet=0.00100000
22:03:22 [Bot-2] [LOSS] spin 43 payout=1042 roll=45.3500000000 bet=0.00100000
22:03:22 [Bot-4] [LOSS] spin 42 payout=1041 roll=89.4660000000 bet=0.00100000
22:03:22 [Bot-3] [LOSS] spin 44 payout=1043 roll=56.7630000000 bet=0.00100000
22:03:22 [Bot-1] [LOSS] spin 42 payout=1041 roll=75.8620000000 bet=0.00100000
22:03:22 [Bot-2] [LOSS] spin 44 payout=1043 roll=66.1030000000 bet=0.00100000
22:03:22 [Bot-4] [LOSS] spin 43 payout=1042 roll=25.2860000000 bet=0.00100000
22:03:23 [Bot-3] [LOSS] spin 45 payout=1044 roll=36.0790000000 bet=0.00100000
22:03:23 [Bot-1] [LOSS] spin 43 payout=1042 roll=95.2000000000 bet=0.00100000
22:03:23 [Bot-2] [LOSS] spin 45 payout=1044 roll=27.0620000000 bet=0.00100000
22:03:23 [Bot-4] [LOSS] spin 44 payout=1043 roll=26.3640000000 bet=0.00100000
22:03:23 [Bot-1] [LOSS] spin 44 payout=1043 roll=50.2150000000 bet=0.00100000
22:03:23 [Bot-2] [LOSS] spin 46 payout=1045 roll=93.2360000000 bet=0.00100000
22:03:23 [Bot-4] [LOSS] spin 45 payout=1044 roll=48.3930000000 bet=0.00100000
22:03:23 [Bot-3] [LOSS] spin 46 payout=1045 roll=38.4370000000 bet=0.00100000
22:03:23 [Bot-1] [LOSS] spin 45 payout=1044 roll=88.3730000000 bet=0.00100000
22:03:23 [Bot-2] [LOSS] spin 47 payout=1046 roll=95.8800000000 bet=0.00100000
22:03:24 [Bot-4] [LOSS] spin 46 payout=1045 roll=61.2380000000 bet=0.00100000
22:03:24 [Bot-3] [LOSS] spin 47 payout=1046 roll=84.5200000000 bet=0.00100000
22:03:24 [Bot-1] [LOSS] spin 46 payout=1045 roll=84.5900000000 bet=0.00100000
22:03:24 [Bot-2] [LOSS] spin 48 payout=1047 roll=71.5090000000 bet=0.00100000
22:03:24 [Bot-4] [LOSS] spin 47 payout=1046 roll=94.1410000000 bet=0.00100000
22:03:24 [Bot-3] [LOSS] spin 48 payout=1047 roll=50.9920000000 bet=0.00100000
22:03:24 [Bot-1] [LOSS] spin 47 payout=1046 roll=34.1450000000 bet=0.00100000
22:03:24 [Bot-2] [LOSS] spin 49 payout=1048 roll=59.0590000000 bet=0.00100000
22:03:24 [Bot-4] [LOSS] spin 48 payout=1047 roll=84.1940000000 bet=0.00100000
22:03:24 [Bot-3] [LOSS] spin 49 payout=1048 roll=24.5860000000 bet=0.00100000
22:03:24 [Bot-1] [LOSS] spin 48 payout=1047 roll=69.9090000000 bet=0.00100000
22:03:24 [Bot-2] [LOSS] spin 50 payout=1049 roll=69.6240000000 bet=0.00100000
22:03:24 [Bot-4] [LOSS] spin 49 payout=1048 roll=11.6780000000 bet=0.00100000
22:03:25 [Bot-3] [LOSS] spin 50 payout=1049 roll=86.7290000000 bet=0.00100000
22:03:25 [Bot-1] [LOSS] spin 49 payout=1048 roll=17.9320000000 bet=0.00100000
22:03:25 [Bot-2] [LOSS] spin 51 payout=1050 roll=20.8550000000 bet=0.00100000
22:03:25 [Bot-4] [LOSS] spin 50 payout=1049 roll=41.5570000000 bet=0.00100000
22:03:25 [Bot-3] [LOSS] spin 51 payout=1050 roll=64.5480000000 bet=0.00100000
22:03:25 [Bot-1] [LOSS] spin 50 payout=1049 roll=3.4520000000 bet=0.00100000
22:03:25 [Bot-2] [LOSS] spin 52 payout=1051 roll=89.8300000000 bet=0.00100000
22:03:25 [Bot-4] [LOSS] spin 51 payout=1050 roll=25.0600000000 bet=0.00100000
22:03:25 [Bot-3] [LOSS] spin 52 payout=1051 roll=29.1370000000 bet=0.00100000
22:03:25 [Bot-1] [LOSS] spin 51 payout=1050 roll=18.6380000000 bet=0.00100000
22:03:25 [Bot-2] [LOSS] spin 53 payout=1052 roll=80.5070000000 bet=0.00100000
22:03:25 [Bot-4] [LOSS] spin 52 payout=1051 roll=42.1360000000 bet=0.00100000
22:03:25 [Bot-3] [LOSS] spin 53 payout=1052 roll=85.1260000000 bet=0.00100000
22:03:26 [Bot-1] [LOSS] spin 52 payout=1051 roll=91.8300000000 bet=0.00100000
22:03:26 [Bot-2] [LOSS] spin 54 payout=1053 roll=30.6850000000 bet=0.00100000
22:03:26 [Bot-4] [LOSS] spin 53 payout=1052 roll=26.1700000000 bet=0.00100000
22:03:26 [Bot-3] [LOSS] spin 54 payout=1053 roll=50.8740000000 bet=0.00100000
